param base := 10 ;

param preferable_hospital:	
	1	2	3	4	5 :=
1	0	0	0	1	1
2	0	1	0	0	0
3	1	1	0	1	1
4	0	1	0	0	0
5	0	0	0	1	0
6	0	0	1	0	0
7	1	0	0	1	0
8	0	0	0	1	0
9	0	1	0	1	0
10	1	0	0	0	0
11	1	1	0	1	0
12	1	0	0	1	0
13	0	0	1	1	0
14	0	1	0	0	0
15	0	0	1	0	0
16	1	0	1	0	0
17	0	1	0	0	1
18	1	0	0	0	0
19	1	0	0	1	1
20	1	0	0	0	0
21	1	0	1	0	1
22	0	1	0	0	0
23	0	1	0	1	1
24	0	0	1	1	0
25	1	0	0	0	0
26	1	0	0	1	0
27	0	0	1	0	0
28	1	0	0	0	0
29	1	0	1	0	0
30	0	0	1	0	1
31	0	1	0	0	1
32	0	0	1	0	0
33	1	0	1	0	0
34	1	0	1	0	0
35	1	0	1	0	0
36	0	0	0	0	1
37	0	0	1	0	1
38	0	1	1	0	0
39	0	1	0	0	0
40	0	0	0	1	0
41	1	0	0	0	0
42	1	0	1	1	0
43	1	0	0	0	0
44	0	0	1	0	0
45	0	0	1	0	0
46	1	1	0	0	1
47	1	0	0	0	0
48	0	1	0	0	1
49	0	1	0	0	0
50	1	0	0	0	1
51	1	0	1	0	0
52	0	0	0	1	1
53	0	0	1	0	0
54	0	0	1	0	0
55	0	1	0	0	0
56	1	1	0	1	0
57	1	0	0	0	0
58	0	1	0	1	0
59	1	0	1	0	0
60	1	0	0	1	0
61	0	1	1	1	0
62	1	0	0	0	0
63	1	1	1	0	0
64	0	0	1	1	1
65	1	1	0	0	1
66	1	1	1	0	0
67	1	1	1	0	0
68	0	0	1	0	0
69	0	1	1	1	0
70	1	0	1	0	1
71	1	1	1	0	0
72	1	1	0	0	0
73	1	1	0	0	0
74	1	0	0	1	1
75	1	1	0	0	0
76	1	1	0	0	0
77	1	1	0	0	0
78	1	0	1	0	0
79	0	1	1	0	0
80	1	0	0	0	0
81	1	1	0	0	1
82	1	1	0	0	0
83	1	1	0	0	0
84	0	1	0	1	0
85	1	1	0	0	0
86	0	0	0	1	0
87	1	1	0	1	0
88	0	0	1	0	0
89	1	0	1	0	0
90	0	0	0	0	1
91	1	0	0	0	0
92	1	1	1	0	0
93	0	1	0	0	0
94	0	1	1	0	1
95	1	0	0	0	0
96	1	0	0	0	0
97	1	0	0	0	0
98	1	0	0	1	0
99	1	0	0	0	0
100	1	1	0	1	0;


param: 	capacity :=
	1 	34			
	2 	10
	3	10
	4	5
	5	5;
		
		
param: 	r :=	
1	200
2	200
3	500
4	600
5	100
6	400
7	400
8	200
9	400
10	600
11	200
12	600
13	300
14	400
15	100
16	300
17	600
18	700
19	600
20	400
21	600
22	600
23	200
24	600
25	600
26	600
27	300
28	400
29	700
30	100
31	100
32	400
33	200
34	400
35	600
36	500
37	500
38	300
39	500
40	100
41	500
42	600
43	300
44	300
45	100
46	700
47	500
48	300
49	600
50	400
51	500
52	500
53	700
54	700
55	400
56	100
57	200
58	200
59	400
60	400
61	300
62	500
63	200
64	200
65	100
66	400
67	700
68	700
69	300
70	300
71	100
72	600
73	100
74	700
75	500
76	200
77	200
78	500
79	600
80	100
81	400
82	200
83	500
84	300
85	600
86	500
87	700
88	500
89	600
90	200
91	700
92	700
93	200
94	300
95	700
96	100
97	400
98	500
99	700
100	300;
