param availability:                                                                                                                                                                                                                                                                                                                                                                      
       	1 	2	3	4	5:=  
	1	1	0	1	0	0
	2	1	0	1	0	0
	3	1	0	1	0	0
	4	1	0	1	0	0
	5	1	0	1	0	0
	6	1	0	1	0	0
	7	1	0	1	0	0
	8	1	0	1	0	0
	9	1	0	1	0	0
	10	1	0	1	0	0
	11	0	1	0	1	0
	12	0	1	0	1	0
	13	0	1	0	1	0
	14	0	1	0	1	0
	15	0	1	0	1	0
	16	0	1	0	1	0
	17	0	1	0	1	0
	18	0	1	0	1	0
	19	0	1	0	1	0
	20	0	1	0	1	0
	21	0	0	0	0	1
	22	0	0	0	0	1
	23	0	0	0	0	1
	24	0	0	0	0	1
	25	0	0	0	0	1
	26	0	0	0	0	1
	27	0	0	0	0	1
	28	0	0	0	0	1
	29	0	0	0	0	1
	30	0	0	0	0	1
	31	1	0	1	0	0
	32	1	0	1	0	0
	33	1	0	1	0	0
	34	1	0	1	0	0
	35	1	0	1	0	0
	36	1	0	1	0	0
	37	1	0	1	0	0
	38	1	0	1	0	0
	39	1	0	1	0	0
	40	1	0	1	0	0
	41	0	1	0	1	0
	42	0	1	0	1	0
	43	0	1	0	1	0
	44	0	1	0	1	0
	45	0	1	0	1	0;                                                                                                                                                                                                                                                                                                                                    



param costpershift:= 

[*,*,1]:     
		1   2 	3	4    5  := 						
	1	10	100	10	100	100
	2	10	100	10	100	100
	3	10	100	10	100	100
	4	10	100	10	100	100
	5	10	100	10	100	100
	6	10	100	10	100	100
	7	10	100	10	100	100
	8	10	100	10	100	100
	9	10	100	10	100	100
	10	10	100	10	100	100
	11	100	10	100	10	100
	12	100	10	100	10	100
	13	100	10	100	10	100
	14	100	10	100	10	100
	15	100	10	100	10	100
	16	100	10	100	10	100
	17	100	10	100	10	100
	18	100	10	100	10	100
	19	100	10	100	10	100
	20	100	10	100	10	100
	21	100	100	100	100	10
	22	100	100	100	100	10
	23	100	100	100	100	10
	24	100	100	100	100	10
	25	100	100	100	100	10
	26	100	100	100	100	10
	27	100	100	100	100	10
	28	100	100	100	100	10
	29	100	100	100	100	10
	30	100	100	100	100	10
	31	10	100	10	100	100
	32	10	100	10	100	100
	33	10	100	10	100	100
	34	10	100	10	100	100
	35	10	100	10	100	100
	36	10	100	10	100	100
	37	10	100	10	100	100
	38	10	100	10	100	100
	39	10	100	10	100	100
	40	10	100	10	100	100
	41	100	10	100	10	100
	42	100	10	100	10	100
	43	100	10	100	10	100
	44	100	10	100	10	100
	45	100	10	100	10	100


